,Name,Quantity in Stock,Cost Per Unit,Cost Per Round,Round Count,Grain,SKU,DateTime
73,500 Round Case - 45 Auto +P 185 Grain Remington Golden Saber BJHP Hollow Point Ammo - GS45APCBSKU: GS45APCB - caseAvailable Stock: 7 $359.50 Each FREE SHIPPING (price per round $0.72),7,359.5,0.72,500,185, GS45APCB - case,2024-08-28 20:03:10.411217
74,200 Round Plastic Can - 45 Auto +P 185 Grain Remington Golden Saber BJHP Hollow Point Ammo - GS45APCB - Packed in Small Plastic CanSKU: GS45APCB - 200PCAvailable Stock: 6 $169.95 Each (price per round $0.85),6,169.95,0.85,200,185, GS45APCB - 200PC,2024-08-28 20:03:10.411217
75,50 Round Box - 45 ACP / Auto Remington Golden Saber 230 Grain BJHP Ammo - GS45APBBSKU: GS45APBB - boxAvailable Stock: 37 $36.95 Each 10+ @ $35.95 Each (price per round $0.74),37,36.95,0.74,50,230, GS45APBB - box,2024-08-28 20:03:10.411217
76,500 Round Case - 45 ACP / Auto Remington Golden Saber 230 Grain BJHP Ammo - GS45APBBSKU: GS45APBB - caseAvailable Stock: 10 $359.50 Each FREE SHIPPING (price per round $0.72),10,359.5,0.72,500,230, GS45APBB - case,2024-08-28 20:03:10.411217
77,50 Round Box - Speer Gold Dot 45 Auto +P 200 Grain GDHP Ammo - 53969 SKU: 53969Available Stock: 59 $39.95 Each 20+ @ $38.95 Each (price per round $0.80),59,39.95,0.8,50,200, 53969,2024-08-28 20:03:10.411217
78,1000 Round Case - Speer Gold Dot 45 Auto +P 200 Grain GDHP Ammo - 53969 SKU: 53969-1000Available Stock: 6 $779.00 Each FREE SHIPPING (price per round $0.78),6,779.0,0.78,1000,200, 53969-1000,2024-08-28 20:03:10.411217
79,50 Round Box - 45 Auto +P 230 Grain Speer Gold Dot G2 Duty Ammo - 54256SKU: 54256 - BoxAvailable Stock: 159 $45.95 Each 20+ @ $44.95 Each (price per round $0.92),159,45.95,0.92,50,230, 54256 - Box,2024-08-28 20:03:10.411217
80,20 Round Box - 45 Auto +P 230 Grain Jacketed Hollow Point Federal HST Ammo - P45HST1SSKU: P45HST1S - BoxAvailable Stock: 66 $29.95 Each 10+ @ $28.95 Each (price per round $1.50),66,29.95,1.5,20,230, P45HST1S - Box,2024-08-28 20:03:10.411217
81,200 Round Case - 45 Auto +P 230 Grain Jacketed Hollow Point Federal HST Ammo - P45HST1SSKU: P45HST1S - CaseAvailable Stock: 4 $289.50 Each FREE SHIPPING (price per round $1.45),4,289.5,1.45,200,230, P45HST1S - Case,2024-08-28 20:03:10.411217
82,20 Round Box - 45 Auto 230 Grain Punch Jacketed Hollow Point Federal Personal Defense Ammo - PD45P1SKU: PD45P1 - BoxAvailable Stock: 37 $21.95 Each 10+ @ $20.95 Each (price per round $1.10),37,21.95,1.1,20,230, PD45P1 - Box,2024-08-28 20:03:10.411217
83,200 Round Case - 45 Auto 230 Grain Punch Jacketed Hollow Point Federal Personal Defense Ammo - PD45P1SKU: PD45P1 - CaseAvailable Stock: 5 $209.50 Each FREE SHIPPING (price per round $1.05),5,209.5,1.05,200,230, PD45P1 - Case,2024-08-28 20:03:10.411217
84,20 Round Box - 45 Auto +P 200 Grain Speer Gold Dot Carry Gun Ammo - 24258SKU: 24258 - BoxAvailable Stock: 85 $30.95 Each 10+ @ $29.95 Each (price per round $1.55),85,30.95,1.55,20,200, 24258 - Box,2024-08-28 20:03:10.411217
85,200 Round Case - 45 Auto +P 200 Grain Speer Gold Dot Carry Gun Ammo - 24258SKU: 24258 - CaseAvailable Stock: 10 $299.50 Each FREE SHIPPING (price per round $1.50),10,299.5,1.5,200,200, 24258 - Case,2024-08-28 20:03:10.411217
86,500 Round Case - 45 Auto 230 Grain Jacketed Hollow Point Winchester Ammo - USA45JHPSKU: USA45JHP - CaseAvailable Stock: 0 $229.50 Each FREE SHIPPING (price per round $0.46),0,229.5,0.46,500,230, USA45JHP - Case,2024-08-28 20:03:10.411217
0,50 Round Box - 45 Auto 230 Grain FMJ Sellier Bellot Brass Case Ammo - SB45ASKU: SB45AAvailable Stock: 160 $20.95 Each 20+ @ $19.99 Each (price per round $0.42),160,20.95,0.42,50,230, SB45A,2024-08-28 20:03:18.140674
1,1000 Round Case - 45 Auto 230 Grain FMJ Sellier Bellot Brass Case Ammo - SB45ASKU: SB45A - case Available Stock: 12 $399.80 Each FREE SHIPPING (price per round $0.40),12,399.8,0.4,1000,230, SB45A - case ,2024-08-28 20:03:18.140674
2,500 Round Can - 45 Auto 230 Grain FMJ Sellier Bellot Brass Case Ammo - SB45A - Packed in M19A1 CanisterSKU: SB45A-500ACAvailable Stock: 5 $219.95 Each FREE SHIPPING 2+ @ $209.95 Each (price per round $0.44),5,219.95,0.44,500,230, SB45A-500AC,2024-08-28 20:03:18.140674
3,1000 Round Can - 45 Auto 230 Grain FMJ Sellier Bellot Brass Case Ammo - SB45A - Packed in M2A1 CanisterSKU: SB45A-ACAvailable Stock: 10 $409.80 Each FREE SHIPPING (price per round $0.41),10,409.8,0.41,1000,230, SB45A-AC,2024-08-28 20:03:18.140674
4,50 Round Box - 45 Auto 230 Grain FMJ PMC Ammo - 45ASKU: pmc45a.50Available Stock: 66 $22.95 Each 20+ @ $20.95 Each (price per round $0.46),66,22.95,0.46,50,230, pmc45a.50,2024-08-28 20:03:18.140674
5,1000 Round Case - PMC 45 Auto 230 Grain FMJ Ammo - 45ASKU: pmc45aAvailable Stock: 8 $419.00 Each FREE SHIPPING (price per round $0.42),8,419.0,0.42,1000,230, pmc45a,2024-08-28 20:03:18.140674
6,350 Round Can - PMC 45 Auto 230 Grain FMJ Ammo - 45A - Packed in M19A1 CanisterSKU: PMC-45A-350ACAvailable Stock: 5 $170.95 Each (price per round $0.49),5,170.95,0.49,350,230, PMC-45A-350AC,2024-08-28 20:03:18.140674
7,100 Round Box - 45 Auto / ACP Winchester 230 Grain FMJ Ammo - USA45AVPSKU: USA45AVPAvailable Stock: 35 $45.95 Each 10+ @ $41.95 Each (price per round $0.46),35,45.95,0.46,100,230, USA45AVP,2024-08-28 20:03:18.140674
8,500 Round Case - 45 Auto / ACP Winchester 230 Grain FMJ Ammo - USA45AVPSKU: USA45AVP-500csAvailable Stock: 11 $219.75 Each FREE SHIPPING 2+ @ $209.75 Each (price per round $0.44),11,219.75,0.44,500,230, USA45AVP-500cs,2024-08-28 20:03:18.140674
9,50 Round Box - 45 Auto / ACP Winchester 230 Grain FMJ - Q4170SKU: q4170-50Available Stock: 113 $22.95 Each 20+ @ $20.95 Each (price per round $0.46),113,22.95,0.46,50,230, q4170-50,2024-08-28 20:03:18.140674
10,500 Round Case - 45 Auto / ACP Winchester 230 Grain FMJ Ammo - Q4170SKU: q4170-500Available Stock: 8 $219.50 Each FREE SHIPPING 2+ @ $209.50 Each (price per round $0.44),8,219.5,0.44,500,230, q4170-500,2024-08-28 20:03:18.140674
